doc_key,no_error,decision_type,detailed_error_type,mention_ind,entity_ind,entity_len,category,type,antecedent_ind,antecedent_dist,antecedent_dist_ent,antecedent_category,mapped_antecedent_ind,mapped_antecedent_dist,mapped_antecedent_dist_ent,mapped_antecedent_category,mapped_antecedent_type,cluster_pron-pron-comp,cluster_pron-pron-no-comp,cluster_pron-ent,cluster_match,cluster_contain,cluster_other,mapped_cluster_pron-pron-comp,mapped_cluster_pron-pron-no-comp,mapped_cluster_pron-ent,mapped_cluster_match,mapped_cluster_contain,mapped_cluster_other,cluster_size,cluster_errors,mapped_cluster_type,mapped_cluster_size,mapped_cluster_errors,cluster_props,cluster_prons,cluster_noms,mapped_cluster_props,mapped_cluster_prons,mapped_cluster_noms,entity_score,wrong_score,wrong_mean_score,num_wrong_inst,entropy,prob,mention_str,cluster_str,cluster_final_size,mapped_cluster_str,mapped_cluster_final_size,prob_str
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,0,0,0,PRON,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mine,,,,,
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,1,0,1,PRON,PER,0.0,0.0,0.0,PRON,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,1.0,0.0,,,,3.253197431564331,,,,0.15898071519334503,0.9627878665924072,my,"Mine_1
",3.0,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,2,1,1,PRON,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2484682498688211,0.9319871068000793,thou,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,3,0,2,PRON,PER,1.0,1.0,1.0,PRON,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,0.0,,,,0.0,1.0,0.0,,,,3.801100969314575,,,,0.13715536166909797,0.973058819770813,my,"Mine_1
my_1
",3.0,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,4,2,2,NOM,FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20595335341395457,0.954220175743103,my kingdom,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,o,o_c,5,3,3,PROP,PER,,,,,3.0,1.0,1.0,PRON,PER,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,PER,3.0,0.0,,,,0.0,1.0,0.0,,0.6565890312194824,0.6565890312194824,1.0,0.7236305812117603,0.647949755191803,Shakespeare,,,"Mine_1
my_2
",3.0,0.6
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,6,4,4,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22304940722850025,0.9600530862808228,North America,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,7,5,5,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16120688080095286,0.9741405844688416,the wilderness,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,8,6,6,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1850363032185056,0.9704777598381042,the adverse hosts,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,9,7,7,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28999765463098126,0.9505797624588013,A wide and apparently an impervious boundary of forests,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,10,8,8,NOM,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2524806490010606,0.9592527747154236,the hostile provinces of France and England,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,11,9,9,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24631478963485123,0.9615281224250793,France,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,12,10,10,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2993199894780775,0.9512495994567871,England,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,13,11,11,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32475683956781143,0.9482261538505554,The hardy colonist,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,14,12,12,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2909478553231062,0.9546350240707397,the trained European who fought at his side,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,15,11,13,PRON,PER,13.0,1.0,1.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,4.350565433502197,,,,0.7399735686716257,0.8113096952438354,his,"The hardy colonist_1
",2.0,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,16,13,13,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.583590265238813,0.8620621562004089,the rapids of the streams,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,17,14,14,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36418280838720735,0.9413290023803711,the streams,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,18,15,15,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4175078366115662,0.9293688535690308,the rugged passes,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,19,16,16,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5073186749063638,0.9113554954528809,the rugged passes of the mountains,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,20,17,17,PRON,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07703743675662,0.4956202208995819,their,,,,,0.5
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,21,18,18,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3064735745546071,0.9558426737785339,the practiced native warriors,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,22,17,19,PRON,PER,20.0,1.0,1.0,PRON,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,1.0,0.0,,,,4.661440372467041,,,,0.19010813752684733,0.9732421636581421,they,"their_1
",2.0,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,23,19,19,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29391046737983656,0.9583819508552551,no recess of the woods,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,24,20,20,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1426006384103622,0.685085117816925,the woods,,,,,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,25,21,21,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27534455178395123,0.9620826244354248,"those who had pledged their blood to satiate their vengeance , or to uphold the cold and selfish policy of the distant monarchs of Europe",,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,26,21,22,PRON,PER,25.0,0.0,0.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,2.472642660140991,,,,0.5509484973097394,0.884736955165863,their,"those who had pledged their blood to satiate their vengeance , or to uphold the cold and selfish policy of the distant monarchs of Europe_1
",3.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,27,21,22,PRON,PER,26.0,0.0,0.0,PRON,,,,,,0.5,0.0,0.5,0.0,0.0,0.0,,,,,,,2.0,0.0,,,,0.0,0.5,0.5,,,,3.685028076171875,,,,0.21513694942842476,0.9637041687965393,their,"those who had pledged their blood to satiate their vengeance , or to uphold the cold and selfish policy of the distant monarchs of Europe_1
their_1
",3.0,,,1.0
